AÑO;Nº olas de calor;Tendencias;;;AÑO;Precipitaciones
2000-2001;26;42;;;2000;847
2001-2002;61;42;;;2001;806
2002-2003;24;43;;;2002;993
2003-2004;48;44;;;2003;719
2004-2005;32;45;;;2004;715
2005-2006;29;46;;;2005;818
2006- 2007;21;46;;;2006;850
2007- 2008;53;47;;;2007;558
2008- 2009;64;64;;;2008;701
2009- 2010;24;24;;;2009;838
2010- 2011;19;50;;;2010;645
2011- 2012;70;50;;;2011;697
2012- 2013;51;51;;;2012;709
2013- 2014;48;52;;;2013;671
2014- 2015;66;53;;;2014;751
2015- 2016;76;54;;;2015;754
2016- 2017;79;55;;;2016;509
2017- 2018;28;55;;;2017;825
2018- 2019;64;56;;;2018;692
2019- 2020;71;57;;;2019;555
2020- 2021;62;58;;;2020;626
;;;;;2021;472
