Años,GEI por carne per cápita al año,GEI por lácteos per cápita al año,GEI por legumbres per cápita al año
2001,93412,29891,90
2002,93015,29891,68
2003,93810,29891,84
2004,97652,29891,90
2005,99375,31029,80
2006,104675,33468,98
2007,107325,31219,60
2008,107590,32682,68
2009,104807,31300,68
2010,108517,33007,66
2011,112227,35907,60
2012,115540,38156,50
2013,118455,38373,66
2014,115540,36801,66
2015,115937,39132,66
2016,122165,38563,66
2017,123225,40650,66
2018,121900,41137,66
2019,116997,38265,54
2020,113817,38265,128
2021,124682,38265,48
